,total_sqft,bath,price,location,bhk
53,1102.0,2.0,52.0,Alandi Road,2
54,1020.0,2.0,46.5,Alandi Road,2
55,1855.0,3.0,145.0,Alandi Road,3
56,1181.0,2.0,75.0,Alandi Road,2
58,1130.0,2.0,45.2,Alandi Road,2
59,1065.0,2.0,55.0,Alandi Road,2
60,1540.0,3.0,85.0,Alandi Road,3
61,1246.0,2.0,67.4,Alandi Road,2
62,500.0,1.0,30.0,Alandi Road,1
63,1080.0,2.0,45.0,Alandi Road,2
64,1756.0,3.0,128.0,Alandi Road,3
65,914.0,2.0,32.0,Alandi Road,2
66,1150.0,2.0,36.8,Alandi Road,2
67,2144.6,4.0,145.0,Alandi Road,3
69,1856.0,3.0,135.0,Alandi Road,3
70,1800.0,4.0,125.0,Alandi Road,3
71,1338.0,2.0,103.0,Alandi Road,2
73,2480.0,2.0,160.0,Alandi Road,2
74,3596.0,5.0,279.0,Alandi Road,4
76,2400.0,5.0,200.0,Alandi Road,5
77,1565.0,2.0,69.0,Alandi Road,2
78,1185.0,2.0,51.15,Alandi Road,2
79,1091.0,2.0,33.82,Alandi Road,2
80,1200.0,4.0,125.0,Alandi Road,4
81,1135.0,2.0,68.0,Alandi Road,2
82,2658.0,5.0,189.0,Alandi Road,4
83,3000.0,4.0,301.0,Alandi Road,4
84,1830.0,4.0,150.0,Alandi Road,3
85,1685.0,3.0,115.0,Alandi Road,3
86,890.0,2.0,40.0,Alandi Road,2
87,1260.0,2.0,75.0,Alandi Road,3
88,674.0,1.0,19.9,Alandi Road,2
89,1049.0,2.0,51.0,Alandi Road,2
90,945.0,2.0,35.0,Alandi Road,2
91,1540.0,3.0,90.0,Alandi Road,3
93,1194.0,2.0,51.0,Alandi Road,2
94,1189.0,2.0,45.0,Alandi Road,2
95,1339.0,2.0,53.56,Alandi Road,2
96,1350.0,2.0,68.0,Alandi Road,2
98,1244.0,2.0,88.0,Alandi Road,2
99,1719.0,3.0,135.0,Alandi Road,3
100,416.0,1.0,17.19,Alandi Road,1
101,1041.0,2.0,54.0,Alandi Road,2
102,705.0,1.0,65.0,Alandi Road,1
105,1027.0,2.0,44.0,Alandi Road,2
106,1801.0,3.0,115.0,Alandi Road,3
107,1205.0,2.0,37.0,Alandi Road,2
108,1105.0,2.0,39.5,Alandi Road,2
109,3504.0,4.0,262.0,Alandi Road,4
110,1089.0,2.0,40.0,Alandi Road,2
111,925.0,2.0,49.82,Alandi Road,3
112,1255.0,3.0,90.0,Alandi Road,3
113,1200.0,2.0,45.0,Alandi Road,2
115,1200.0,2.0,75.0,Alandi Road,2
118,950.0,2.0,40.0,Ambegaon Budruk,2
119,1200.0,2.0,65.0,Ambegaon Budruk,2
120,1180.0,2.0,78.34,Ambegaon Budruk,3
121,1215.0,2.0,67.0,Ambegaon Budruk,2
122,884.0,2.0,41.1,Ambegaon Budruk,2
123,1036.0,2.0,50.0,Ambegaon Budruk,2
124,6000.0,5.0,400.0,Ambegaon Budruk,4
125,1240.0,2.0,60.0,Ambegaon Budruk,2
126,2060.0,3.0,149.0,Ambegaon Budruk,3
127,1890.0,4.0,127.0,Ambegaon Budruk,3
128,1330.0,2.0,86.98,Ambegaon Budruk,2
129,1115.0,2.0,50.0,Ambegaon Budruk,2
130,1045.0,2.0,45.0,Ambegaon Budruk,2
131,1070.0,2.0,54.0,Ambegaon Budruk,2
132,1340.0,2.0,100.0,Ambegaon Budruk,3
133,1500.0,2.0,143.0,Ambegaon Budruk,3
134,3122.0,6.0,245.0,Ambegaon Budruk,4
135,1089.0,2.0,43.55,Ambegaon Budruk,2
136,3250.0,4.0,230.0,Ambegaon Budruk,4
139,780.0,2.0,25.0,Ambegaon Budruk,2
141,1065.0,2.0,50.0,Ambegaon Budruk,2
142,1351.0,2.0,53.0,Ambegaon Budruk,1
143,1146.0,2.0,39.5,Ambegaon Budruk,2
144,1000.0,2.0,60.0,Ambegaon Budruk,2
145,1665.0,3.0,86.91,Ambegaon Budruk,3
146,1274.0,2.0,48.42,Ambegaon Budruk,2
147,1819.18,3.0,160.0,Ambegaon Budruk,3
148,1444.0,2.0,80.0,Ambegaon Budruk,3
149,1263.0,2.0,78.0,Ambegaon Budruk,2
150,1690.0,3.0,112.0,Ambegaon Budruk,3
151,1500.0,3.0,95.0,Ambegaon Budruk,3
152,709.0,1.0,34.385,Ambegaon Budruk,1
154,1000.0,2.0,68.0,Ambegaon Budruk,2
155,1360.0,2.0,103.0,Ambegaon Budruk,2
156,1140.0,2.0,52.0,Ambegaon Budruk,2
159,1174.0,2.0,75.0,Ambegaon Budruk,2
160,1075.0,2.0,30.0,Ambegaon Budruk,2
162,1390.0,2.0,65.0,Ambegaon Budruk,2
163,1010.0,2.0,35.0,Ambegaon Budruk,2
164,1250.0,2.0,60.0,Ambegaon Budruk,2
165,2400.0,5.0,190.0,Ambegaon Budruk,4
167,1200.0,2.0,52.5,Ambegaon Budruk,2
168,919.0,2.0,34.0,Ambegaon Budruk,2
169,1242.0,2.0,65.0,Ambegaon Budruk,2
170,913.0,2.0,36.0,Ambegaon Budruk,2
171,883.0,2.0,45.0,Ambegaon Budruk,2
172,1724.0,3.0,146.0,Ambegaon Budruk,3
174,1444.0,2.0,71.5,Ambegaon Budruk,3
175,1395.0,2.0,75.0,Ambegaon Budruk,2
176,600.0,1.0,47.0,Ambegaon Budruk,1
178,1258.0,2.0,58.0,Ambegaon Budruk,2
180,750.0,2.0,36.5,Ambegaon Budruk,2
181,2600.0,3.0,147.0,Ambegaon Budruk,3
182,900.0,2.0,55.0,Ambegaon Budruk,2
183,500.0,1.0,20.0,Ambegaon Budruk,1
184,1089.0,2.0,49.0,Ambegaon Budruk,2
185,1086.0,2.0,44.5,Ambegaon Budruk,2
186,1512.0,3.0,103.0,Ambegaon Budruk,3
187,1500.0,3.0,72.99,Ambegaon Budruk,3
188,2000.0,2.0,180.0,Ambegaon Budruk,3
189,1215.0,2.0,68.0,Ambegaon Budruk,2
190,2400.0,2.0,125.0,Ambegaon Budruk,3
191,2210.0,3.0,165.0,Ambegaon Budruk,3
192,1800.0,3.0,93.0,Ambegaon Budruk,3
193,3122.0,6.0,245.0,Ambegaon Budruk,4
194,1600.0,2.0,90.0,Ambegaon Budruk,3
196,2275.0,4.0,185.0,Ambegaon Budruk,3
197,900.0,2.0,72.0,Ambegaon Budruk,2
198,1398.0,2.0,97.0,Ambegaon Budruk,2
199,3270.0,4.0,205.0,Ambegaon Budruk,4
200,1340.0,2.0,85.0,Ambegaon Budruk,2
201,1350.0,3.0,70.0,Ambegaon Budruk,3
202,2650.0,4.0,175.0,Ambegaon Budruk,3
203,500.0,1.0,33.0,Ambegaon Budruk,1
204,984.0,2.0,45.91,Ambegaon Budruk,2
205,1725.0,3.0,106.0,Ambegaon Budruk,3
206,1035.0,2.0,39.0,Ambegaon Budruk,2
210,1107.83,2.0,41.51,Ambegaon Budruk,2
212,1220.0,2.0,62.0,Ambegaon Budruk,2
213,1200.0,2.0,45.0,Ambegaon Budruk,2
214,1310.0,2.0,60.0,Ambegaon Budruk,2
215,1315.0,2.0,55.0,Ambegaon Budruk,2
216,1450.0,2.0,73.0,Ambegaon Budruk,3
217,1220.0,2.0,55.0,Ambegaon Budruk,2
218,1200.0,1.0,50.0,Ambegaon Budruk,2
219,1150.0,2.0,45.99,Ambegaon Budruk,2
220,1165.0,2.0,52.0,Ambegaon Budruk,2
221,1160.0,2.0,49.0,Ambegaon Budruk,2
222,925.0,2.0,35.0,Ambegaon Budruk,2
223,1516.0,3.0,147.0,Ambegaon Budruk,3
224,1790.0,3.0,120.0,Ambegaon Budruk,3
225,1112.0,2.0,58.0,Ambegaon Budruk,2
226,1490.0,3.0,85.0,Ambegaon Budruk,3
228,1200.0,2.0,65.0,Anandnagar,2
232,1460.0,3.0,73.0,Anandnagar,3
233,1300.0,1.0,115.0,Anandnagar,2
234,1662.0,3.0,85.1,Anandnagar,3
236,1535.0,3.0,78.0,Anandnagar,3
237,1730.0,3.0,96.0,Anandnagar,3
238,1400.0,2.0,73.0,Anandnagar,3
240,1757.0,3.0,132.0,Anandnagar,3
241,1200.0,2.0,125.0,Anandnagar,2
242,1200.0,4.0,83.0,Anandnagar,4
243,3555.0,4.0,230.0,Anandnagar,4
244,1450.0,3.0,132.0,Anandnagar,4
246,1290.0,2.0,85.0,Anandnagar,2
247,1800.0,3.0,90.0,Anandnagar,3
248,2475.0,4.0,130.0,Anandnagar,3
249,1776.42,3.0,105.0,Anandnagar,3
252,1000.0,2.0,65.0,Anandnagar,3
253,1128.0,2.0,65.0,Anandnagar,2
256,1418.0,2.0,103.0,Anandnagar,2
258,1340.0,2.0,77.0,Anandnagar,2
259,1419.0,2.0,73.0,Anandnagar,3
260,1891.0,3.0,109.0,Anandnagar,3
261,2592.0,4.0,250.0,Anandnagar,4
265,1750.0,3.0,130.0,Anandnagar,3
266,2661.0,2.0,226.5,Anandnagar,3
269,1045.0,2.0,58.0,Anandnagar,2
273,750.0,1.0,52.5,Anandnagar,1
274,1732.0,3.0,85.73,Anandnagar,3
278,1910.0,3.0,119.0,Anandnagar,3
279,500.0,2.0,24.0,Anandnagar,1
281,3200.0,4.0,280.0,Anandnagar,4
282,1020.0,2.0,60.0,Anandnagar,2
283,1750.0,3.0,123.0,Anandnagar,3
286,1725.0,2.0,165.0,Anandnagar,3
287,665.0,1.0,32.0,Anandnagar,1
288,2400.0,4.0,250.0,Anandnagar,4
289,1355.0,3.0,83.87,Anandnagar,3
290,1200.0,3.0,125.0,Anandnagar,4
293,645.0,1.0,42.5,Anandnagar,1
294,1613.0,3.0,150.0,Anandnagar,3
296,1280.0,2.0,100.0,Anandnagar,3
297,1115.0,2.0,60.0,Anandnagar,2
298,416.0,1.0,18.0,Anandnagar,1
299,1491.0,3.0,88.0,Anandnagar,3
300,1929.0,4.0,101.0,Anandnagar,3
302,1770.0,3.0,90.0,Anandnagar,3
304,2025.0,4.0,115.0,Anandnagar,3
305,1397.0,3.0,105.0,Anandnagar,3
306,1738.0,3.0,110.0,Anandnagar,3
310,3400.0,4.0,275.0,Anandnagar,4
311,702.0,1.0,52.0,Anandnagar,1
312,2895.5,2.0,246.0,Anandnagar,4
313,1330.0,2.0,80.0,Anandnagar,2
314,1152.0,1.0,66.0,Anandnagar,2
315,1314.0,2.0,110.0,Anandnagar,2
316,1100.0,2.0,75.0,Anandnagar,3
318,1464.0,2.0,115.0,Anandnagar,3
322,1000.0,2.0,70.0,Anandnagar,2
325,3000.0,6.0,180.0,Anandnagar,7
328,1350.0,2.0,85.0,Anandnagar,3
329,1776.0,3.0,150.0,Anandnagar,3
333,2150.0,3.0,170.0,Anandnagar,3
336,1400.0,3.0,74.0,Anandnagar,3
338,410.0,1.0,10.0,Anandnagar,1
341,1335.0,2.0,72.76,Anandnagar,2
342,1600.0,2.0,90.0,Anandnagar,2
343,1917.0,4.0,130.0,Anandnagar,4
344,1521.0,3.0,95.0,Aundh,3
345,1200.0,3.0,90.0,Aundh,3
346,1327.0,2.0,98.0,Aundh,2
348,1580.0,2.0,134.0,Aundh,3
349,1355.0,2.0,115.0,Aundh,2
351,1170.0,2.0,57.0,Aundh,2
353,1464.0,2.0,105.0,Aundh,3
354,1200.0,4.0,120.0,Aundh,4
355,1180.0,2.0,75.0,Aundh,2
356,2195.0,4.0,127.0,Aundh,3
357,3522.0,3.0,380.0,Aundh,3
358,1192.0,2.0,71.0,Aundh,2
359,2700.0,4.0,270.0,Aundh,3
360,600.0,1.0,16.5,Aundh,1
361,2690.0,4.0,191.0,Aundh,4
363,1270.0,2.0,70.0,Aundh,3
364,1837.0,3.0,145.0,Aundh,3
365,1875.0,3.0,110.0,Aundh,3
367,3181.0,2.0,260.5,Aundh,4
368,1080.0,2.0,53.35,Aundh,2
369,440.0,1.0,28.0,Aundh,1
370,1350.0,2.0,90.0,Aundh,2
373,630.5,1.0,32.79,Aundh,1
374,1512.0,2.0,110.0,Aundh,3
375,1355.0,3.0,83.87,Aundh,3
376,1521.0,3.0,94.71,Aundh,3
377,1299.0,2.0,85.0,Aundh,2
378,1896.0,3.0,125.0,Aundh,4
379,1140.0,2.0,50.0,Aundh,2
380,1251.0,2.0,88.73,Aundh,2
381,2388.0,4.0,239.0,Aundh,3
382,1200.0,2.0,55.0,Aundh,2
383,1322.0,2.0,86.0,Aundh,2
384,1100.0,2.0,48.0,Aundh,2
386,700.0,2.0,34.98,Aundh,2
387,1450.0,3.0,100.0,Aundh,3
389,1486.0,3.0,83.22,Aundh,3
390,1390.0,2.0,65.31,Aundh,2
392,1290.0,2.0,80.0,Aundh,2
393,1302.0,2.0,68.5,Aundh,2
395,1610.0,4.0,85.0,Aundh,3
399,1706.0,3.0,154.0,Aundh,3
400,1000.0,1.0,90.0,Aundh,2
402,1665.0,3.0,110.0,Aundh,3
403,3900.0,6.0,195.0,Aundh,6
405,1335.0,2.0,87.0,Aundh,3
406,1700.0,3.0,150.0,Aundh,3
407,3500.0,4.0,289.0,Aundh,4
409,1087.0,2.0,54.3,Aundh,2
413,1066.0,2.0,52.23,Aundh,2
414,1250.0,2.0,95.0,Aundh,2
415,1255.0,2.0,84.0,Aundh,2
416,1180.0,2.0,60.0,Aundh,2
417,3155.0,3.0,315.0,Aundh,3
418,2003.0,3.0,200.0,Aundh,3
421,700.0,1.0,35.0,Aundh,1
425,2330.0,5.0,175.0,Aundh,4
427,750.0,2.0,40.0,Aundh,2
428,1842.0,3.0,115.0,Aundh,3
429,1632.0,3.0,140.0,Aundh,4
431,1350.0,1.0,55.0,Aundh,1
432,3930.0,5.0,330.0,Aundh,4
434,1560.0,3.0,149.0,Aundh,4
435,1416.0,2.0,67.0,Aundh,2
437,1090.0,2.0,31.48,Aundh,1
440,1400.0,3.0,75.0,Aundh,3
441,1885.0,3.0,135.0,Aundh,3
443,5100.0,5.0,300.0,Aundh,6
445,2400.0,2.0,125.0,Aundh,2
446,540.0,1.0,22.0,Aundh,1
447,2400.0,3.0,185.0,Aundh,4
448,4723.0,4.0,500.0,Aundh,4
449,1290.0,2.0,72.0,Aundh,2
450,1482.0,3.0,110.0,Aundh,3
451,1094.0,2.0,54.0,Aundh,2
452,1234.0,2.0,80.0,Aundh,2
454,1810.0,3.0,97.83,Aundh,3
456,1648.0,3.0,85.0,Aundh,3
457,1703.0,3.0,120.0,Aundh,3
459,2502.0,3.0,138.0,Aundh Road,3
462,1826.0,3.0,121.0,Aundh Road,3
465,600.0,1.0,50.0,Aundh Road,1
469,1234.0,2.0,80.0,Aundh Road,2
470,1330.0,2.0,92.5,Aundh Road,2
471,2200.0,6.0,68.0,Aundh Road,6
472,1650.0,3.0,125.0,Aundh Road,3
475,2400.0,3.0,142.0,Aundh Road,4
477,2479.13,3.0,215.0,Aundh Road,3
478,3000.0,4.0,200.0,Aundh Road,4
480,2503.0,4.0,188.0,Aundh Road,4
483,1500.0,3.0,97.0,Aundh Road,3
484,7500.0,7.0,400.0,Aundh Road,7
485,1800.0,4.0,110.0,Aundh Road,4
489,1100.0,2.0,68.0,Aundh Road,2
492,605.0,1.0,40.0,Aundh Road,1
493,1200.0,2.0,100.0,Aundh Road,2
494,1600.0,2.0,115.0,Aundh Road,3
495,1369.1,2.0,104.0,Aundh Road,2
498,1948.0,3.0,130.0,Aundh Road,3
500,1810.0,3.0,126.0,Aundh Road,3
503,412.5,1.0,19.8,Aundh Road,1
505,540.0,1.0,16.5,Aundh Road,1
506,850.0,1.0,57.0,Aundh Road,1
507,1475.0,3.0,78.0,Aundh Road,3
509,905.0,1.0,52.0,Aundh Road,1
510,1293.0,2.0,85.0,Aundh Road,3
513,2968.0,3.0,225.0,Aundh Road,3
516,1600.0,3.0,112.0,Aundh Road,3
520,1000.0,2.0,70.65,Aundh Road,2
523,2134.0,4.0,118.0,Aundh Road,3
526,1290.0,2.0,90.0,Aundh Road,2
527,661.0,1.0,40.0,Aundh Road,1
529,1730.0,3.0,93.0,Aundh Road,3
530,1650.0,3.0,90.75,Aundh Road,3
532,616.0,3.0,45.0,Aundh Road,2
533,1100.0,2.0,70.0,Aundh Road,2
534,900.0,2.0,60.0,Aundh Road,2
539,645.0,1.0,41.0,Aundh Road,1
541,900.0,3.0,79.0,Aundh Road,3
542,1222.0,3.0,95.0,Aundh Road,3
544,1130.0,2.0,68.0,Aundh Road,2
545,1000.0,2.0,66.0,Aundh Road,2
551,1650.0,3.0,126.0,Aundh Road,3
555,1293.0,2.0,80.0,Aundh Road,2
556,1245.0,2.0,80.0,Aundh Road,2
558,1300.0,2.0,69.0,Aundh Road,3
565,1500.0,3.0,90.0,Aundh Road,3
566,2140.0,3.0,139.0,Aundh Road,3
567,1000.0,2.0,66.0,Aundh Road,2
571,1170.0,2.0,38.0,Balaji Nagar,2
572,1783.0,3.0,115.0,Balaji Nagar,3
573,1349.0,2.0,98.2,Balaji Nagar,2
574,1245.0,2.0,94.0,Balaji Nagar,2
575,540.0,1.0,36.0,Balaji Nagar,1
576,1779.0,3.0,89.61,Balaji Nagar,3
577,1342.0,2.0,73.3,Balaji Nagar,2
579,1937.0,3.0,160.0,Balaji Nagar,3
580,1400.0,2.0,78.0,Balaji Nagar,2
581,1200.0,2.0,71.0,Balaji Nagar,2
582,1440.0,2.0,98.0,Balaji Nagar,2
583,1297.0,2.0,103.0,Balaji Nagar,2
584,1200.0,3.0,72.0,Balaji Nagar,2
585,1240.0,2.0,44.0,Balaji Nagar,2
586,1846.0,3.0,140.0,Balaji Nagar,3
587,2045.0,4.0,154.0,Balaji Nagar,3
588,1238.0,2.0,55.0,Balaji Nagar,2
589,983.0,2.0,50.6,Balaji Nagar,2
590,1583.0,3.0,105.0,Balaji Nagar,3
591,2524.0,5.0,190.0,Balaji Nagar,4
592,3200.0,4.0,205.0,Balaji Nagar,4
593,1800.0,3.0,110.0,Balaji Nagar,3
594,1700.0,2.0,100.0,Balaji Nagar,3
595,1493.0,3.0,82.0,Balaji Nagar,3
596,3181.0,4.0,260.5,Balaji Nagar,4
597,1156.0,2.0,49.5,Balaji Nagar,2
598,1697.0,3.0,115.0,Balaji Nagar,3
599,1350.0,2.0,87.01,Balaji Nagar,3
600,1650.0,3.0,100.0,Balaji Nagar,3
601,995.0,2.0,34.82,Balaji Nagar,2
603,1532.0,3.0,83.0,Balaji Nagar,3
604,1128.0,2.0,65.5,Balaji Nagar,2
605,1355.0,2.0,75.0,Balaji Nagar,2
606,990.0,2.0,40.0,Balaji Nagar,2
607,3600.0,4.0,260.0,Balaji Nagar,4
608,1656.0,3.0,150.0,Balaji Nagar,3
609,1600.0,4.0,112.0,Balaji Nagar,4
611,1041.0,2.0,36.44,Balaji Nagar,2
612,1246.0,2.0,62.3,Balaji Nagar,2
613,4830.0,5.0,390.0,Balaji Nagar,4
614,4400.0,4.0,350.0,Balaji Nagar,5
615,1100.0,2.0,62.0,Balaji Nagar,2
616,709.0,1.0,34.735,Balaji Nagar,1
619,1917.0,4.0,100.0,Balaji Nagar,3
620,1303.0,2.0,55.79,Balaji Nagar,2
621,1200.0,2.0,66.0,Balaji Nagar,3
623,1519.0,2.0,65.0,Balaji Nagar,2
624,2010.0,3.0,125.0,Balaji Nagar,3
625,1450.0,3.0,75.0,Balaji Nagar,3
626,1200.0,2.0,90.0,Balaji Nagar,2
627,4250.0,6.0,150.0,Balaji Nagar,6
628,1185.0,2.0,41.0,Balaji Nagar,2
629,907.0,2.0,38.0,Balaji Nagar,2
630,4003.0,6.0,300.0,Balaji Nagar,4
631,3496.5,2.0,237.5,Balaji Nagar,3
632,1369.1,2.0,98.0,Balaji Nagar,2
633,1109.0,2.0,35.22,Balaji Nagar,2
634,1180.0,2.0,52.0,Balaji Nagar,2
635,1375.0,2.0,78.0,Balaji Nagar,2
636,1280.0,2.0,60.16,Balaji Nagar,2
637,620.0,1.0,23.5,Balaji Nagar,2
638,1536.0,3.0,104.0,Balaji Nagar,3
639,1205.0,2.0,63.86,Balaji Nagar,2
640,1140.0,2.0,48.7,Balaji Nagar,2
641,2215.0,4.0,150.0,Balaji Nagar,3
642,745.0,1.0,34.27,Balaji Nagar,1
643,900.0,2.0,42.0,Balaji Nagar,2
644,1044.0,2.0,34.0,Balaji Nagar,2
645,2710.0,3.0,170.0,Balaji Nagar,3
646,1150.0,1.0,52.0,Balaji Nagar,1
647,1180.0,2.0,71.22,Balaji Nagar,2
649,1046.0,2.0,60.0,Balaji Nagar,2
650,1125.0,2.0,54.8,Balaji Nagar,2
651,2648.0,3.0,238.0,Balaji Nagar,3
652,4446.0,3.0,410.0,Balaji Nagar,3
653,1116.0,2.0,47.0,Balaji Nagar,2
654,1300.0,2.0,66.0,Balaji Nagar,2
656,1282.0,2.0,72.0,Balaji Nagar,2
657,1276.0,2.0,80.0,Balaji Nagar,2
659,1717.0,3.0,110.0,Balaji Nagar,3
660,3000.0,8.0,150.0,Balaji Nagar,8
661,1300.0,3.0,69.0,Balaji Nagar,3
662,1645.0,3.0,87.0,Balaji Nagar,3
664,1660.0,3.0,104.0,Balaji Nagar,3
665,1320.0,2.0,50.0,Balaji Nagar,2
667,1171.0,2.0,73.0,Balaji Nagar,2
668,812.0,2.0,42.0,Balaji Nagar,2
669,1875.0,2.0,110.0,Balaji Nagar,3
670,1000.0,2.0,35.0,Balaji Nagar,2
671,1938.0,3.0,113.0,Balaji Nagar,3
672,1745.0,3.0,130.0,Balaji Nagar,3
673,1584.0,3.0,101.0,Balaji Nagar,3
674,1050.0,2.0,35.0,Balaji Nagar,2
675,1500.0,3.0,85.0,Balaji Nagar,3
677,509.0,1.0,23.0,Balaji Nagar,1
678,1310.0,2.0,53.0,Balaji Nagar,2
679,2732.0,4.0,204.0,Baner,4
680,2400.0,2.0,150.0,Baner,3
682,1005.0,2.0,50.0,Baner,2
683,1145.0,2.0,45.79,Baner,2
685,715.0,1.0,46.0,Baner,1
686,1640.0,2.0,120.0,Baner,3
687,1105.0,2.0,58.0,Baner,2
688,1345.0,2.0,67.0,Baner,2
690,1128.0,2.0,65.49,Baner,2
691,500.0,1.0,25.0,Baner,1
692,650.0,1.0,38.0,Baner,1
693,1269.72,2.0,68.0,Baner,2
694,1490.0,2.0,98.0,Baner,3
696,1101.0,2.0,65.0,Baner,2
697,400.0,1.0,14.0,Baner,1
699,1063.0,2.0,42.0,Baner,2
700,2319.0,3.0,180.0,Baner,3
701,1311.0,2.0,78.0,Baner,2
702,1525.0,3.0,96.0,Baner,3
703,1850.0,3.0,110.0,Baner,3
704,1098.0,2.0,43.91,Baner,2
707,1247.0,2.0,59.8,Baner,2
708,3537.0,5.0,210.0,Baner,4
709,1719.0,3.0,116.0,Baner,3
710,2760.0,5.0,157.0,Baner,3
712,900.0,2.0,32.5,Baner,2
713,2776.0,4.0,195.0,Baner,3
714,1820.0,3.0,93.0,Baner,3
715,1150.0,2.0,65.0,Baner,2
716,1016.0,2.0,45.0,Baner,2
717,1045.0,2.0,36.58,Baner,2
718,985.0,2.0,49.0,Baner,2
719,1326.0,2.0,57.0,Baner,2
720,1210.0,2.0,45.0,Baner,2
721,1085.0,2.0,70.0,Baner,2
722,1420.0,3.0,85.0,Baner,3
723,1559.0,3.0,120.0,Baner,3
724,1113.0,2.0,50.0,Baner,2
725,1140.0,2.0,45.0,Baner,2
726,1194.0,2.0,71.64,Baner,2
727,1680.0,3.0,117.0,Baner,3
729,1100.0,2.0,57.0,Baner,2
730,1350.0,3.0,71.0,Baner,3
731,1210.0,2.0,75.0,Baner,2
732,1155.0,2.0,51.0,Baner,2
734,1345.0,2.0,106.0,Baner,2
735,1240.0,2.0,80.0,Baner,2
736,1200.0,2.0,80.0,Baner,2
737,1755.0,3.0,101.0,Baner,3
738,1231.0,2.0,50.0,Baner,2
739,1645.0,3.0,117.0,Baner,3
741,2400.0,3.0,135.0,Baner,3
744,1002.0,2.0,40.08,Baner,2
745,1350.0,2.0,90.0,Baner,2
746,985.0,2.0,57.0,Baner,2
748,1255.0,2.0,55.5,Baner,2
749,2500.0,5.0,175.0,Baner,4
750,1650.0,3.0,101.0,Baner,3
751,1010.0,2.0,36.0,Baner,2
753,1695.0,3.0,125.0,Baner,3
754,1720.0,2.0,126.0,Baner,3
756,775.0,2.0,29.5,Baner,2
757,1160.0,2.0,40.53,Baner,2
758,2100.0,3.0,135.0,Baner,3
759,1061.0,2.0,33.84,Baner,2
760,1140.0,2.0,46.0,Baner,2
761,800.0,2.0,40.0,Baner,2
762,1234.0,2.0,51.0,Baner,2
763,700.0,2.0,34.0,Baner,2
764,2569.0,4.0,175.0,Baner,4
765,1330.0,2.0,93.65,Baner,2
766,1154.0,2.0,47.0,Baner,2
767,1748.0,3.0,103.0,Baner,3
769,1035.0,2.0,39.33,Baner,2
770,1247.0,2.0,58.56,Baner,2
771,1168.0,2.0,68.0,Baner,3
772,1280.0,2.0,68.48,Baner,2
773,1465.0,2.0,60.0,Baner,2
774,1200.0,2.0,70.0,Baner,2
775,1260.0,2.0,82.0,Baner,3
776,1150.0,2.0,38.08,Baner,2
777,1806.0,6.0,116.0,Baner,3
778,1837.0,2.0,95.0,Baner,3
780,1150.0,2.0,70.0,Baner,2
781,1175.0,2.0,50.0,Baner,2
783,2265.0,3.0,159.0,Baner,3
784,1146.0,2.0,69.0,Baner,2
787,1417.0,2.0,75.0,Baner road,2
791,1060.0,2.0,55.0,Baner road,2
794,764.0,1.0,32.0,Baner road,1
795,1490.0,3.0,100.0,Baner road,3
797,1330.0,2.0,93.36,Baner road,2
800,1140.0,2.0,76.0,Baner road,2
